manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,68700,Convertible,E-Class,2016,402,2,Luxury,Midsize,26,17,617
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,rear wheel drive,75000,Coupe,C-Class,2017,503,2,Factory Tuner,Midsize,23,17,617
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,19345,Wagon,500L,2015,160,4,Generic,Compact,33,25,819
Audi,AUTOMATIC,premium unleaded (required),4,all wheel drive,50200,Convertible,A5,2016,220,2,Luxury,Midsize,29,21,3105
Mitsubishi,AUTOMATIC,regular unleaded,4,four wheel drive,24195,4dr SUV,Outlander Sport,2017,168,4,Crossover,Compact,27,22,436
Nissan,AUTOMATIC,regular unleaded,8,rear wheel drive,49960,4dr SUV,Armada,2014,317,4,Flex Fuel,Large,19,13,2009
Mazda,MANUAL,premium unleaded (recommended),4,rear wheel drive,32205,Convertible,MX-5 Miata,2015,167,2,Performance,Compact,28,21,586
Volvo,AUTOMATIC,regular unleaded,6,all wheel drive,47700,Sedan,S60,2016,325,4,Luxury,Midsize,27,18,870
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,35750,4dr SUV,XC60,2015,240,4,Crossover,Midsize,31,24,870
Mitsubishi,AUTOMATIC,regular unleaded,4,four wheel drive,22195,4dr SUV,Outlander Sport,2015,148,4,Crossover,Compact,30,24,436
Nissan,AUTOMATIC,premium unleaded (required),6,rear wheel drive,38370,Coupe,370Z,2015,332,2,High-Performance,Compact,26,19,2009
Nissan,AUTOMATIC,regular unleaded,6,rear wheel drive,32510,Crew Cab Pickup,Frontier,2017,261,4,Generic,Compact,23,16,2009
Mercedes-Benz,AUTOMATIC,premium unleaded (required),4,all wheel drive,43675,Sedan,C-Class,2017,241,4,Luxury,Midsize,31,24,617
Audi,MANUAL,premium unleaded (required),8,all wheel drive,129400,Convertible,R8,2015,430,2,Luxury,Compact,20,11,3105
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,24700,Convertible,500,2015,101,2,Generic,Compact,34,28,819
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,43300,Sedan,S60,2016,302,4,Luxury,Midsize,33,23,870
Mercedes-Benz,AUTOMATIC,premium unleaded (required),8,all wheel drive,118160,4dr SUV,GL-Class,2014,550,4,Crossover,Large,17,13,617
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,36400,4dr SUV,XC60,2015,240,4,Crossover,Midsize,31,24,870
FIAT,MANUAL,premium unleaded (recommended),4,front wheel drive,23095,Wagon,500L,2015,160,4,Generic,Compact,33,25,819
Volvo,AUTOMATIC,premium unleaded (recommended),4,all wheel drive,51600,4dr SUV,XC90,2017,316,4,Crossover,Large,25,20,870
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,38900,Sedan,S60,2016,240,4,Luxury,Midsize,37,25,870
Mazda,AUTOMATIC,regular unleaded,4,all wheel drive,23210,4dr SUV,CX-3,2016,146,4,Crossover,Compact,32,27,586
BMW,AUTOMATIC,premium unleaded (required),4,all wheel drive,43000,4dr Hatchback,3 Series Gran Turismo,2016,240,4,Hatchback,Midsize,34,22,3916
Ferrari,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,198190,Convertible,California,2013,483,2,Exotic,Compact,19,13,2774
Mazda,MANUAL,regular unleaded,4,front wheel drive,23245,4dr Hatchback,3,2016,155,4,Hatchback,Compact,40,29,586
Audi,AUTOMATIC,premium unleaded (required),8,all wheel drive,114900,Sedan,S8,2016,605,4,Factory Tuner,Large,25,15,3105
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,25460,Sedan,Altima,2016,182,4,Generic,Midsize,39,27,2009
BMW,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,117200,Sedan,M6 Gran Coupe,2016,552,4,Factory Tuner,Large,20,14,3916
Ferrari,AUTOMATED_MANUAL,premium unleaded (required),8,rear wheel drive,239340,Coupe,458 Italia,2015,562,2,Exotic,Compact,17,13,2774
Audi,AUTOMATED_MANUAL,premium unleaded (recommended),4,front wheel drive,34900,Sedan,A4,2017,190,4,Luxury,Midsize,37,27,3105
Mazda,AUTOMATIC,premium unleaded (recommended),4,rear wheel drive,28650,Convertible,MX-5 Miata,2015,158,2,Performance,Compact,28,21,586
Ferrari,AUTOMATED_MANUAL,premium unleaded (required),12,rear wheel drive,315888,Coupe,F12 Berlinetta,2014,731,2,Exotic,Midsize,16,11,2774
Nissan,AUTOMATIC,regular unleaded,4,front wheel drive,20870,Cargo Minivan,NV200,2016,131,4,Generic,Compact,26,24,2009
Mazda,MANUAL,regular unleaded,4,front wheel drive,21545,4dr SUV,CX-5,2015,155,4,Crossover,Midsize,35,26,586
Chrysler,AUTOMATIC,flex-fuel (unleaded/E85),4,front wheel drive,25690,Sedan,200,2016,184,4,Flex Fuel,Midsize,36,23,1013
BMW,AUTOMATIC,premium unleaded (required),6,rear wheel drive,81300,Sedan,7 Series,2016,320,4,Luxury,Large,29,21,3916
Volvo,AUTOMATIC,regular unleaded,4,front wheel drive,38100,Wagon,V60,2016,240,4,Luxury,Midsize,29,25,870
