manufacturer,fuel_type,transmission,cylinders,wheels,MSRP,size,style,horsepower,highwaympg,citympg,doors,year,doors2,market_category,popularity
Mazda,regular unleaded,MANUAL,6,rear wheel drive,15125,Compact,Regular Cab Pickup,150,21,15,2,2001,2,Generic,586
Hyundai,regular unleaded,AUTOMATIC,4,all wheel drive,25200,Compact,4dr SUV,182,25,20,4,2015,4,Crossover,1439
Volkswagen,premium unleaded (recommended),MANUAL,4,front wheel drive,27455,Midsize,Sedan,210,33,23,4,2014,4,Performance,873
Nissan,regular unleaded,AUTOMATIC,6,front wheel drive,27390,Midsize,Sedan,270,32,22,4,2016,4,Performance,2009
Volkswagen,regular unleaded,AUTOMATIC,4,front wheel drive,26995,Compact,Wagon,170,36,25,4,2015,4,Generic,873
Volkswagen,regular unleaded,AUTOMATIC,5,front wheel drive,27390,Compact,Convertible,150,28,20,2,2010,2,Generic,873
Pontiac,regular unleaded,MANUAL,4,front wheel drive,2000,Compact,Coupe,74,37,26,2,1992,2,Generic,210
Bentley,flex-fuel (premium unleaded required/E85),AUTOMATIC,12,all wheel drive,218500,Midsize,Convertible,567,20,12,2,2014,2,Exotic,520
Hyundai,regular unleaded,AUTOMATIC,4,front wheel drive,30100,Midsize,Sedan,193,43,39,4,2016,4,Hybrid,1439
Toyota,flex-fuel (unleaded/E85),AUTOMATIC,8,rear wheel drive,46530,Large,Crew Cab Pickup,381,18,13,4,2016,4,Flex-Fuel,2031
Saab,premium unleaded (recommended),AUTOMATIC,4,front wheel drive,38305,Compact,Wagon,210,27,19,4,2009,4,Luxury,376
Mazda,regular unleaded,AUTOMATIC,4,front wheel drive,24945,Compact,4dr Hatchback,184,35,26,4,2017,4,"Hatchback,Performance",586
BMW,premium unleaded (required),MANUAL,6,rear wheel drive,64000,Midsize,Sedan,425,26,17,4,2017,4,Factory Tuner,3916
Chevrolet,premium unleaded (recommended),MANUAL,8,rear wheel drive,64450,Compact,Coupe,455,29,17,2,2015,2,High-Performance,1385
Toyota,regular unleaded,MANUAL,4,front wheel drive,22450,Midsize,Coupe,155,31,21,2,2008,2,Generic,2031
Chevrolet,regular unleaded,AUTOMATIC,8,rear wheel drive,2000,Large,Wagon,260,23,15,4,1994,4,Generic,1385
Acura,premium unleaded (recommended),AUTOMATIC,6,front wheel drive,37405,Midsize,Sedan,280,29,20,4,2013,4,"Luxury,Performance",204
BMW,premium unleaded (required),AUTOMATIC,6,rear wheel drive,45800,Midsize,Sedan,320,33,22,4,2016,4,"Luxury,High-Performance",3916
Volkswagen,premium unleaded (recommended),AUTOMATED_MANUAL,4,front wheel drive,28395,Compact,4dr Hatchback,200,33,24,4,2013,4,"Hatchback,Performance",873
Ford,regular unleaded,AUTOMATIC,4,front wheel drive,22500,Midsize,Sedan,175,34,22,4,2015,4,Generic,5657
Chevrolet,regular unleaded,AUTOMATIC,8,four wheel drive,45420,Large,Crew Cab Pickup,355,22,16,4,2015,4,Generic,1385
Mazda,premium unleaded (required),MANUAL,4,front wheel drive,24200,Compact,4dr Hatchback,263,25,18,4,2013,4,"Hatchback,Factory Tuner,Performance",586
Mitsubishi,regular unleaded,AUTOMATIC,6,rear wheel drive,22907,Midsize,4dr SUV,165,21,16,4,2003,4,Generic,436
Mitsubishi,regular unleaded,AUTOMATIC,4,rear wheel drive,2000,Compact,Passenger Minivan,107,19,16,3,1990,3,Generic,436
Buick,regular unleaded,AUTOMATIC,6,rear wheel drive,31550,Midsize,4dr SUV,291,20,14,4,2007,4,Generic,155
Aston Martin,premium unleaded (required),AUTOMATIC,12,rear wheel drive,284976,Midsize,Coupe,510,18,12,2,2012,2,Exotic,259
Audi,premium unleaded (recommended),AUTOMATIC,8,all wheel drive,115900,Large,Sedan,605,24,15,4,2017,4,Factory Tuner,3105
Land Rover,flex-fuel (premium unleaded required/E85),AUTOMATIC,6,four wheel drive,76875,Midsize,4dr SUV,340,23,17,4,2015,4,Flex-Fuel,258
Dodge,regular unleaded,AUTOMATIC,6,all wheel drive,29795,Midsize,4dr SUV,283,24,16,4,2017,4,Crossover,1851
Toyota,regular unleaded,AUTOMATIC,6,front wheel drive,34395,Midsize,4dr SUV,270,25,19,4,2016,4,Crossover,2031
Toyota,flex-fuel (unleaded/E85),AUTOMATIC,8,four wheel drive,50030,Large,Crew Cab Pickup,381,17,13,4,2017,4,Flex-Fuel,2031
Cadillac,regular unleaded,AUTOMATIC,8,rear wheel drive,2000,Large,Sedan,260,23,15,4,1995,4,Luxury,1624
Pontiac,regular unleaded,AUTOMATIC,6,front wheel drive,29420,Compact,4dr SUV,264,24,17,4,2009,4,Crossover,210
Suzuki,regular unleaded,MANUAL,4,rear wheel drive,2000,Compact,Convertible SUV,95,24,21,2,1996,2,Generic,481
Ford,regular unleaded,AUTOMATIC,6,front wheel drive,27870,Midsize,Passenger Minivan,200,22,16,4,2003,4,Generic,5657
