,manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
0,8,2,6,8,4,68700,5,52,4,402,2,9,3,26,17,617
1,8,2,6,8,4,75000,7,40,5,503,2,4,3,23,17,617
2,5,4,5,4,3,19345,12,19,3,160,4,6,1,33,25,819
3,2,2,6,4,1,50200,5,28,4,220,2,9,3,29,21,3105
4,9,2,7,4,2,24195,3,88,5,168,4,1,1,27,22,436
5,10,2,7,8,4,49960,3,38,2,317,4,5,2,19,13,2009
6,7,4,5,4,4,32205,5,77,3,167,2,10,1,28,21,586
7,11,2,7,6,1,47700,11,105,4,325,4,9,3,27,18,870
8,11,2,7,4,3,35750,3,134,3,240,4,1,3,31,24,870
9,9,2,7,4,2,22195,3,88,3,148,4,1,1,30,24,436
10,10,2,6,6,4,38370,7,10,3,332,2,8,1,26,19,2009
11,10,2,7,6,4,32510,8,55,5,261,4,6,1,23,16,2009
12,8,2,6,4,1,43675,11,40,5,241,4,9,3,31,24,617
13,2,4,6,8,1,129400,5,95,3,430,2,9,1,20,11,3105
14,5,4,5,4,3,24700,5,18,3,101,2,6,1,34,28,819
15,11,2,7,4,3,43300,11,105,4,302,4,9,3,33,23,870
16,8,2,6,8,1,118160,3,57,2,550,4,1,2,17,13,617
17,11,2,7,4,3,36400,3,134,3,240,4,1,3,31,24,870
18,5,4,5,4,3,23095,12,19,3,160,4,6,1,33,25,819
19,11,2,5,4,1,51600,3,136,5,316,4,1,2,25,20,870
20,11,2,7,4,3,38900,11,105,4,240,4,9,3,37,25,870
21,7,2,7,4,1,23210,3,46,4,146,4,1,1,32,27,586
22,3,2,6,4,1,43000,2,8,4,240,4,7,3,34,22,3916
23,6,1,6,8,4,198190,5,49,1,483,2,3,1,19,13,2774
24,7,4,7,4,3,23245,2,6,4,155,4,7,1,40,29,586
25,2,2,6,8,1,114900,11,108,4,605,4,4,2,25,15,3105
26,10,2,7,4,3,25460,11,37,4,182,4,6,3,39,27,2009
27,3,1,6,8,4,117200,11,76,4,552,4,4,2,20,14,3916
