,manufacturer,transmission,fuel_type,cylinders,wheels,msrp,style,model,year,horsepower,doors,market_category,size,highwaympg,citympg,popularity
1009,8,2,6,8,4,73250,11,40,4,503,4,4,3,25,18,617
1739,2,2,6,4,1,42750,3,92,4,220,4,1,3,28,20,3105
625,8,2,6,4,4,52150,11,52,5,241,4,9,3,30,22,617
798,2,2,5,4,1,41300,3,91,5,200,4,1,1,28,20,3105
1659,3,2,6,6,4,47950,11,12,4,300,4,9,3,31,20,3916
92,2,2,1,6,1,62500,11,29,3,240,4,2,3,38,24,3105
1543,8,2,6,6,1,55600,11,52,4,302,4,9,3,28,20,617
1469,10,2,7,8,4,40580,8,121,2,317,4,5,2,18,13,2009
1335,3,2,5,6,4,49050,5,4,5,335,2,4,1,32,21,3916
1064,10,2,7,6,1,40600,3,84,3,260,4,1,3,28,21,2009
1006,8,2,6,6,1,50290,3,69,2,302,4,1,3,22,17,617
1625,10,2,6,6,4,43290,7,10,5,350,2,4,1,26,19,2009
1024,2,1,6,8,1,70900,7,96,3,450,2,4,3,23,16,3105
1373,11,2,7,6,1,45800,12,123,4,325,4,9,3,27,18,870
1816,11,2,7,6,1,45150,12,123,3,325,4,9,3,28,19,870
1802,8,2,6,6,1,50800,3,69,3,302,4,1,3,22,17,617
1342,11,2,7,6,1,43950,11,109,3,300,4,9,3,28,19,870
1166,10,2,5,6,1,41995,6,85,2,265,2,1,3,22,17,2009
15,11,2,7,4,3,43300,11,105,4,302,4,9,3,33,23,870
960,3,2,5,6,1,50300,11,12,5,320,4,9,3,31,21,3916
754,10,2,7,8,2,42890,3,38,2,317,4,5,2,18,12,2009
454,3,2,6,6,1,45500,3,128,3,300,4,1,3,26,19,3916
171,10,4,6,6,4,41990,7,10,4,350,2,4,1,26,18,2009
778,3,2,6,4,1,41950,12,7,3,241,4,9,3,33,22,3916
1242,10,4,6,6,4,45490,7,10,3,350,2,4,1,26,18,2009
1348,10,2,6,6,4,46790,7,10,4,350,2,4,1,26,19,2009
611,3,2,6,6,4,55850,11,16,4,302,4,9,2,31,20,3916
250,2,2,1,6,1,47500,3,92,3,240,4,1,3,31,24,3105
52,2,1,5,4,1,41650,11,25,3,220,4,9,1,33,24,3105
996,3,2,6,6,1,46150,7,4,4,320,2,4,1,30,20,3916
1525,8,2,6,6,4,54200,7,52,4,329,2,9,3,29,20,617
22,3,2,6,4,1,43000,2,8,4,240,4,7,3,34,22,3916
1798,3,2,6,4,4,48750,5,11,3,240,2,9,3,34,23,3916
1194,2,2,3,4,1,43150,3,92,5,220,4,1,3,27,20,3105
1784,2,2,6,4,1,41500,7,28,4,220,2,9,3,31,22,3105
82,8,2,1,4,4,51800,11,52,3,195,4,2,3,42,28,617
1326,11,2,7,6,1,41800,12,135,3,300,4,1,3,24,17,870
